Marca temporal,Género,¿Cuántos años tienes?,¿Qué semestre estás cursando?,Número de horas que dedicas para estudiar a la semana,Promedio general del último semestre cursado,Cantidad de materias aprobadas en el último semestre cursado (25-2),¿Con cuántos lenguajes de programación trabajas con comodidad? ,¿Cuántas herramientas de IA generadoras de texto utilizas comúnmente?,"Generalmente, ¿considera válido el uso de la inteligencia artificial generadora de texto en trabajos académicos?","Aproximadamente, ¿Cuántas veces consultas a una IA generadora de texto en un día?",¿Qué herramienta de IA generadora de texto utilizas con mayor frecuencia en tus actividades académicas?,¿Cómo calificarías tu nivel de confianza sobre las respuestas generadas por los modelos de IA generadoras de texto? [Nivel de confianza],expediente
2026/04/06 8:11:41 p.m. GMT+0,Femenino,20,2do Semestre,5,92,7,0,2,Sí,2,ChatGPT,Regular,224204614
2026/04/06 8:12:50 p.m. GMT+0,Masculino,18,2do Semestre,10,92,7,1,2,No,2,ChatGPT,Regular,225206673
2026/04/06 8:14:50 p.m. GMT+0,Masculino,19,2do Semestre,2,95,7,1,3,Sí,5,ChatGPT,Regular,225204575
2026/04/06 8:15:35 p.m. GMT+0,Masculino,19,2do Semestre,8,97,7,1,1,No,2,ChatGPT,Bajo,225205932
2026/04/06 10:06:44 p.m. GMT+0,Masculino,19,2do Semestre,3,70,6,2,2,No,2,deepseek,Bajo,224212880
2026/04/06 10:07:06 p.m. GMT+0,Masculino,24,2do Semestre,6,92,7,2,1,Sí,1,Gemini,Regular,223201224
2026/04/06 10:07:17 p.m. GMT+0,Masculino,18,2do Semestre,10,88,7,2,1,Sí,4,ChatGPT,Regular,225204260
2026/04/06 10:07:23 p.m. GMT+0,Masculino,18,2do Semestre,20,67,7,2,5,Sí,50,Gemini,Regular,225209204
2026/04/06 10:07:28 p.m. GMT+0,Masculino,28,4to Semestre,45,88,4,3,3,No,1,ChatGPT,Regular,216201517
2026/04/06 10:07:31 p.m. GMT+0,Femenino,19,2do Semestre,4,7.8,6,1,0,No,0,Ninguna,Bajo,225204856
2026/04/06 10:07:46 p.m. GMT+0,Masculino,28,2do Semestre,14,90,7,2,3,No,1,Copilot,Alto,225204204
2026/04/06 10:07:54 p.m. GMT+0,Femenino,18,2do Semestre,3,85.6,7,2,0,No,0,Ninguna,Bajo,225204104
2026/04/06 10:08:27 p.m. GMT+0,Femenino,18,2do Semestre,8,85,7,3,2,Sí,4,ChatGPT,Bajo,225207453
2026/04/06 10:09:31 p.m. GMT+0,Masculino,18,2do Semestre,2,78,7,1,2,Sí,2,Gemini,Regular,225219249
2026/04/06 10:09:51 p.m. GMT+0,Masculino,19,2do Semestre,0,79.6,7,1,1,No,2,Gemini,Regular,225201183
2026/04/06 10:10:28 p.m. GMT+0,Femenino,18,2do Semestre,2,65,6,1,2,No,1,Grok,Bajo,6623721594
2026/04/06 10:10:41 p.m. GMT+0,Masculino,19,2do Semestre,7,70,7,1,2,Sí,2,Gemini,Regular,225204882
2026/04/06 10:11:29 p.m. GMT+0,Masculino,24,2do Semestre,4,99,4,1,1,Sí,1,ChatGPT,Regular,225206255
2026/04/06 10:11:33 p.m. GMT+0,Femenino,19,2do Semestre,2,81,7,3,0,No,0,Ninguna,Muy bajo,225215200
2026/04/06 10:11:36 p.m. GMT+0,Masculino,20,2do Semestre,1,83,7,1,1,No,2,ChatGPT,Regular,225200332
2026/04/06 10:12:40 p.m. GMT+0,Femenino,31,2do Semestre,33,99.6,7,4,3,No,5,Deepseek y Claude,Regular,213204857
2026/04/06 10:13:00 p.m. GMT+0,Masculino,25,2do Semestre,2,70,6,1,0,No,0,Ninguna,Muy bajo,220216875
2026/04/07 4:00:15 p.m. GMT+0,Masculino,18,2do Semestre,5,94,7,2,2,Sí,3,Gemini,Regular,225203072
2026/04/07 4:16:45 p.m. GMT+0,Masculino,24,6to Semestre,24,89.9,7,2,2,Sí,8,ChatGPT,Regular,223108792
2026/04/07 7:15:08 p.m. GMT+0,Masculino,25,6to Semestre,6,85,5,1,1,Sí,3,Gemini,Regular,
2026/04/07 8:52:06 p.m. GMT+0,Masculino,21,7mo Semestre,5,92,7,3,3,Sí,4,ChatGPT,Alto,
2026/04/07 8:52:13 p.m. GMT+0,Masculino,19,5to Semestre,5,67.9,4,2,1,No,2,Claude,Regular,
2026/04/07 8:52:43 p.m. GMT+0,Masculino,22,10,15,81,5,2,2,Sí,1,Gemini,Regular,
2026/04/07 8:52:59 p.m. GMT+0,Masculino,21,6to Semestre,2,58,2,0,3,Sí,2,ChatGPT,Regular,
2026/04/07 8:53:02 p.m. GMT+0,Femenino,26,5to Semestre,4,73,6,3,3,Sí,1,Gemini,Regular,
2026/04/07 8:53:10 p.m. GMT+0,Masculino,22,10mo,2,81,4,3,3,Sí,20,Gemini,Regular,
2026/04/07 8:53:16 p.m. GMT+0,Femenino,26,6to Semestre,5,70,3,2,1,Sí,1,ChatGPT,Bajo,
2026/04/07 8:53:18 p.m. GMT+0,Masculino,24,4to Semestre,4,84,5,1,2,No,2,ChatGPT,Bajo,
2026/04/07 8:53:23 p.m. GMT+0,Masculino,21,6to Semestre,1,90.8,6,1,1,No,10,Gemini,Regular,
2026/04/07 8:53:26 p.m. GMT+0,Prefiero no decirlo,25,n/a,5,85,1,3,1,No,1,ChatGPT,Regular,
2026/04/07 8:53:32 p.m. GMT+0,Masculino,23,7mo Semestre,2,90,5,2,3,Sí,1,ChatGPT,Regular,
2026/04/07 8:53:38 p.m. GMT+0,Masculino,23,6to Semestre,4,95,5,2,5,Sí,3,Gemini,Alto,
2026/04/07 8:53:47 p.m. GMT+0,Masculino,20,6to Semestre,2,76,4,4,2,Sí,5,Gemini,Regular,
2026/04/07 8:54:11 p.m. GMT+0,Masculino,20,6to Semestre,7,82,6,2,2,Sí,1,Gemini,Regular,
2026/04/07 8:55:16 p.m. GMT+0,Masculino,26,9no Semestre,10,96,5,3,3,Sí,2,Claude,Regular,
2026/04/07 9:00:46 p.m. GMT+0,Masculino,20,6to Semestre,8,91,7,2,3,Sí,2,ChatGPT,Alto,
2026/04/07 10:49:49 p.m. GMT+0,Masculino,21,6to Semestre,8,95,7,1,3,No,1,ChatGPT,Regular,
2026/04/07 11:33:07 p.m. GMT+0,Masculino,22,6to Semestre,9,90,7,4,3,Sí,6,ChatGPT,Alto,
2026/04/08 1:16:53 a.m. GMT+0,Masculino,20,2do Semestre,5,90,7,2,2,No,1,Ninguna,Bajo,
2026/04/08 1:17:23 a.m. GMT+0,Masculino,36,2do Semestre,2,93,7,1,3,Sí,3,Claude,Regular,
2026/04/08 1:20:24 a.m. GMT+0,Masculino,18,2do Semestre,4,83,7,2,2,Sí,4,ChatGPT,Alto,
2026/04/08 1:26:49 a.m. GMT+0,Femenino,18,2do Semestre,35,88,7,2,2,Sí,3,Claude,Alto,
2026/04/08 2:19:50 a.m. GMT+0,Masculino,18,4to Semestre,40,88,1,2,2,Sí,2,Gemini,Bajo,
2026/04/08 2:36:57 a.m. GMT+0,Masculino,20,4to Semestre,8,95,7,1,3,Sí,1,ChatGPT,Alto,
2026/04/08 3:02:29 a.m. GMT+0,Masculino,19,4to Semestre,6,91,6,2,3,Sí,3,Claude,Regular,
2026/04/08 3:18:06 a.m. GMT+0,Masculino,18,2do Semestre,7,91,7,2,2,Sí,5,Gemini,Alto,
2026/04/08 3:20:04 a.m. GMT+0,Masculino,18,2do Semestre,3,99,7,2,1,Sí,4,Gemini,Regular,
2026/04/08 5:04:13 a.m. GMT+0,Masculino,18,2do Semestre,3,9.4,7,1,2,Sí,3,ChatGPT,Regular,
2026/04/08 5:52:41 a.m. GMT+0,Femenino,20,6to Semestre,0,100,6,1,4,Sí,3,ChatGPT,Regular,
2026/04/08 1:21:08 p.m. GMT+0,Masculino,19,2do Semestre,4,90,7,1,1,No,2,Copilot,Bajo,
2026/04/08 2:32:36 p.m. GMT+0,Femenino,20,4to Semestre,4,97.3,6,3,2,Sí,0,Claude,Regular,
2026/04/08 2:33:50 p.m. GMT+0,Femenino,19,4to Semestre,15,97,7,3,2,Sí,5,Gemini,Regular,
2026/04/08 2:33:58 p.m. GMT+0,Masculino,26,Doceavo,1,77,4,1,3,Sí,2,Gemini,Regular,
2026/04/08 2:35:20 p.m. GMT+0,Femenino,19,4to Semestre,4,96.57,7,3,2,Sí,2,ChatGPT,Regular,
2026/04/08 2:41:54 p.m. GMT+0,Masculino,19,4to Semestre,8,97.8,7,2,2,Sí,4,ChatGPT,Regular,
2026/04/08 2:43:44 p.m. GMT+0,Masculino,19,4to Semestre,3,78,6,1,3,Sí,3,Gemini,Regular,
2026/04/08 2:47:14 p.m. GMT+0,Femenino,20,4to Semestre,3,70,2,2,3,No,0,ChatGPT,Bajo,
2026/04/08 2:51:55 p.m. GMT+0,Femenino,19,2do Semestre,5,94,7,2,3,No,4,Gemini,Regular,
2026/04/08 3:05:47 p.m. GMT+0,Masculino,21,5to Semestre,3,81,3,1,2,Sí,9,DeepSeek,Regular,
2026/04/08 3:07:58 p.m. GMT+0,Masculino,19,4to Semestre,3,97,7,4,2,Sí,4,ChatGPT,Regular,
2026/04/08 3:08:24 p.m. GMT+0,Masculino,20,4to Semestre,5,98,7,1,2,Sí,3,Gemini,Regular,
2026/04/08 3:08:25 p.m. GMT+0,Masculino,20,4to Semestre,5,98,7,1,2,Sí,3,Gemini,Regular,
2026/04/08 3:08:36 p.m. GMT+0,Masculino,20,4to Semestre,2,96,7,1,2,Sí,4,Claude,Bajo,
2026/04/08 3:08:38 p.m. GMT+0,Prefiero no decirlo,20,4to Semestre,3,95,7,2,0,No,0,Ninguna,Bajo,
2026/04/08 3:08:51 p.m. GMT+0,Masculino,19,4to Semestre,4,98,7,2,1,Sí,1,ChatGPT,Alto,
2026/04/08 3:08:54 p.m. GMT+0,Masculino,19,4to Semestre,10,97,7,3,2,Sí,3,Claude,Regular,
2026/04/08 3:09:11 p.m. GMT+0,Masculino,20,4to Semestre,40,99,7,2,2,Sí,4,Gemini,Alto,
2026/04/08 3:09:14 p.m. GMT+0,Masculino,19,4to Semestre,1,89,6,1,2,Sí,1,ChatGPT,Regular,
2026/04/08 3:09:19 p.m. GMT+0,Femenino,20,4to Semestre,1,96,7,2,3,Sí,0,Gemini,Bajo,
